Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C5, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C8, C9",0805,69,100nF,
"C47, C48, C50, C51, C52",0805,5,100n,C1525
C49,0805,1,100n,C52923
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_2.2mm_M2,8,MountingHole,
J1,PinHeader_1x04_P1.00mm_Vertical,1,Display conector,
J2,PinHeader_1x01_P1.27mm_Vertical,1,Conn_01x01_Socket,
J3,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02_Socket,
"MUX1, MUX2",SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,2,CD74HC4067M96,C496123
P1,XIAO-nRF52840-DIP-Bare,1,Xiao nRF52840,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R3, R4, R5, R6, R7, R8, R9",0805,23,10k,
SW1,SW-TH_EC10EXXXXXXX,1,~,
SW3,SW-TH_EC11NXXXX,1,EC11N1520401,C470703
SW4,SW-SMD_TCEPQR,1,~,
"U0, U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U5, U6, U7, U8, U9",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,46,HX6659ISO-B,C495742
