Designator,Mid X,Mid Y,Rotation,Layer
C1,34.0,-49.5,180.0,top
C10,91.0,-40.0,180.0,top
C11,99.5,-40.0,180.0,bottom
C12,91.0,-44.0,0.0,top
C13,110.0,-45.0,180.0,top
C14,118.5,-45.0,180.0,bottom
C15,110.0,-48.5,0.0,top
C16,129.0,-45.0,180.0,top
C17,137.5,-45.0,180.0,bottom
C18,129.0,-48.5,0.0,top
C19,34.0,-68.55,180.0,top
C2,42.5,-49.5,180.0,bottom
C20,42.5,-68.54,180.0,bottom
C21,34.0,-72.5,0.0,top
C22,53.01,-68.54,180.0,top
C23,61.5,-68.55,180.0,bottom
C24,53.0,-72.5,0.0,top
C25,72.0,-59.0,180.0,top
C26,80.5,-59.0,180.0,bottom
C27,72.0,-63.0,0.0,top
C28,91.0,-59.0,180.0,top
C29,99.5,-59.0,180.0,bottom
C3,33.9625,-53.0,0.0,top
C30,91.0,-63.0,0.0,top
C31,110.0,-64.0,180.0,top
C32,118.5,-64.0,180.0,bottom
C33,110.0,-67.5,0.0,top
C34,128.9625,-64.0,180.0,top
C35,138.0,-64.0,180.0,bottom
C36,129.0,-67.5,0.0,top
C37,34.0,-88.0,180.0,top
C38,42.5,-88.0,180.0,bottom
C39,34.0,-91.5,0.0,top
C4,53.0,-49.5,180.0,top
C40,53.0,-88.0,180.0,top
C41,61.5,-88.0,180.0,bottom
C42,53.0,-91.5,0.0,top
C43,72.0,-78.08,180.0,top
C44,80.5,-78.07,180.0,bottom
C45,72.0,-82.0,0.0,top
C46,90.97,-78.1,180.0,top
C47,95.25,-100.965,270.0,top
C48,95.175,-92.6125,90.0,bottom
C49,152.2,-37.3,90.0,top
C5,61.5,-49.5,180.0,bottom
C50,154.2,-37.3,90.0,top
C51,156.19,-37.3,90.0,top
C52,158.2,-37.3,90.0,top
C56,99.5,-78.07,180.0,bottom
C57,91.0,-82.0,0.0,top
C58,110.0,-83.0,180.0,top
C59,118.5,-83.0,180.0,bottom
C6,53.0,-53.0,0.0,top
C60,110.0,-86.5,0.0,top
C61,129.0,-83.0,180.0,top
C62,137.5,-83.0,180.0,bottom
C63,129.0,-86.5,0.0,top
C64,109.99,-102.33,180.0,top
C65,118.5,-102.5,180.0,bottom
C66,110.0,-105.5,0.0,top
C67,129.0,-102.5,180.0,top
C68,137.5,-102.5,180.0,bottom
C69,128.9625,-105.5,0.0,top
C7,71.9625,-40.0,180.0,top
C70,149.5,-103.0,170.0,top
C71,157.5,-105.0,190.0,bottom
C72,148.5,-107.0,350.0,top
C73,126.0,-121.0,180.0,top
C74,135.0,-121.5,180.0,bottom
C75,126.4625,-124.5,0.0,top
C76,146.0,-122.0,170.0,top
C77,154.5,-124.0,190.0,bottom
C78,145.5,-125.5,350.0,top
C8,80.5,-40.0,180.0,bottom
C9,72.0,-44.0,0.0,top
J1,155.2,-56.95,270.0,top
J2,165.735,-35.2425,0.0,top
J3,155.2,-52.6,90.0,top
MUX1,85.725,-96.8,90.0,top
MUX2,85.725,-96.8,270.0,bottom
P1,154.97,-43.87,0.0,top
R1,38.0,-52.5,270.0,top
R10,95.0,-62.0,270.0,top
R11,114.5,-66.5,270.0,top
R12,133.5,-66.5,270.0,top
R13,38.0,-90.5,270.0,top
R14,57.0,-90.5,270.0,top
R15,76.0,-81.0,270.0,top
R16,95.0,-81.0,270.0,top
R17,114.5,-85.5,270.0,top
R18,133.5,-85.5,270.0,top
R19,114.5,-104.5,270.0,top
R2,57.0,-52.5,270.0,top
R20,133.5,-104.5,270.0,top
R21,153.0,-106.5,260.0,top
R22,130.5,-123.5,270.0,top
R23,149.5,-125.5,260.0,top
R3,76.0,-43.0,270.0,top
R4,95.0,-43.0,270.0,top
R5,114.5,-47.5,270.0,top
R6,133.5,-47.5,270.0,top
R7,38.0,-71.5,270.0,top
R8,57.0,-71.5,270.0,top
R9,76.0,-62.0,270.0,top
SW1,171.786052,-98.023789,170.0,top
SW3,154.05,-80.65,180.0,top
SW4,168.84,-37.055,90.0,bottom
U0,38.1,-47.625,180.0,top
U1,57.15,-47.625,180.0,top
U10,114.3,-61.9125,180.0,top
U11,133.35,-61.9125,180.0,top
U12,38.1,-85.725,180.0,top
U13,57.15,-85.725,180.0,top
U14,76.2,-76.2,180.0,top
U15,95.25,-76.2,180.0,top
U16,114.3,-80.9625,180.0,top
U17,133.35,-80.9625,180.0,top
U18,114.3,-100.0125,180.0,top
U19,133.35,-100.0125,180.0,top
U2,76.2,-38.1,180.0,top
U20,153.9093,-101.8112,170.0,top
U21,130.4925,-119.0625,180.0,top
U22,150.6013,-120.5718,170.0,top
U23,38.1,-47.625,180.0,bottom
U24,57.15,-47.625,180.0,bottom
U25,76.2,-38.1,180.0,bottom
U26,95.25,-38.1,180.0,bottom
U27,114.3,-42.8625,180.0,bottom
U28,133.35,-42.8625,180.0,bottom
U29,38.1,-66.675,180.0,bottom
U3,95.25,-38.1,180.0,top
U30,57.15,-66.675,180.0,bottom
U31,76.2,-57.15,180.0,bottom
U32,95.25,-57.15,180.0,bottom
U33,114.3,-61.9125,180.0,bottom
U34,133.35,-61.9125,180.0,bottom
U35,38.1,-85.725,180.0,bottom
U36,57.15,-85.725,180.0,bottom
U37,76.2,-76.2,180.0,bottom
U38,95.25,-76.2,180.0,bottom
U39,114.3,-80.9625,180.0,bottom
U4,114.3,-42.8625,180.0,top
U40,133.35,-80.9625,180.0,bottom
U41,114.3,-100.0125,180.0,bottom
U42,133.35,-100.0125,180.0,bottom
U43,153.9093,-101.8112,190.0,bottom
U44,130.4925,-119.0625,180.0,bottom
U45,150.6013,-120.5718,190.0,bottom
U5,133.35,-42.8625,180.0,top
U6,38.1,-66.675,180.0,top
U7,57.15,-66.675,180.0,top
U8,76.2,-57.15,180.0,top
U9,95.25,-57.15,180.0,top
